gene_id,SRR12899143,SRR12899144,SRR12899145,SRR12899146,SRR12899147,SRR12899148,SRR12899149,SRR12899150,SRR12899151,SRR12899152,SRR12899153,SRR12899154,SRR12899155,SRR12899156,SRR12899157,SRR12899158,SRR12899159,SRR12899160,SRR12899161,SRR12899162,SRR12899163,SRR12899164,SRR12899165,SRR12899166
AT4G22890,13199,12663,12119,8647,29396,21905,23584,13501,14126,14178,18772,20561,14646,17027,24670,31209,32927,13704,13578,15339,13761,13880,28837,17987
AT1G38430.1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G27910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AT1G06620,125,114,67,80,667,832,524,439,204,101,419,160,155,107,556,457,582,93,78,87,103,63,289,349
AT5G54067,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G34630,3399,831,1010,529,2576,1025,1117,3230,3041,3105,3885,2816,2856,3506,3319,2794,2827,3146,3298,3297,3414,3637,3647,2474
AT2G46660,410,102,71,99,149,154,162,342,388,526,156,154,223,116,196,186,192,357,579,466,410,386,230,250
AT2G25590,355,24,30,9,382,120,97,460,414,413,139,413,90,196,770,929,1040,472,468,378,335,365,466,303
AT1G43171,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0
AT2G12695.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT2G32280,559,168,215,173,509,578,438,795,549,415,354,702,335,331,577,495,494,584,429,701,534,499,577,680
STRG.15041,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0
AT3G15020,1713,310,579,704,777,877,778,1355,1342,1403,1454,1144,1324,1124,1533,1311,1125,1143,1251,1497,1804,1800,1041,1465
AT5G61100,6,0,5,8,9,6,0,26,21,13,7,13,8,8,15,13,9,16,10,18,11,21,7,6
AT5G01650,4186,4179,3853,3669,6563,6534,7156,3751,3998,3596,4950,5245,5168,3886,7482,6676,8048,4978,4000,5357,4182,3804,7344,5853
STRG.15049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09770,3440,940,774,467,3382,1424,1317,2389,2102,2811,3156,1447,2382,2655,2440,2728,2634,2017,2807,2737,3469,3703,1875,1328
